Date,Open,High,Low,Close,Adj Close,Volume
2022-03-10,1407.790039,1469.349976,1402.189941,1469.030029,1469.030029,404000
2022-03-11,1466.400024,1518.47998,1466.400024,1475.410034,1475.410034,591700
2022-03-14,1461.5,1505.160034,1461.079956,1471.969971,1471.969971,357400
2022-03-15,1479.76001,1526.869995,1478.130005,1493.650024,1493.650024,313500
2022-03-16,1523.619995,1559.630005,1511.089966,1554.73999,1554.73999,287900
2022-03-17,1530,1564.48999,1530,1563.550049,1563.550049,195800
2022-03-18,1566.859985,1595.420044,1550.140015,1587.72998,1587.72998,313500
2022-03-21,1580,1592.030029,1521.869995,1540.209961,1540.209961,249400
2022-03-22,1547.73999,1569,1542.51001,1558.339966,1558.339966,147400
2022-03-23,1550,1551.550049,1520.02002,1541.670044,1541.670044,291100
2022-03-24,1548.469971,1567.859985,1525,1565.939941,1565.939941,175600
2022-03-25,1574.349976,1574.449951,1537.48999,1556.369995,1556.369995,137800
2022-03-28,1556.859985,1586,1546.449951,1575.109985,1575.109985,143100
2022-03-29,1600,1614.560059,1570.01001,1590.329956,1590.329956,196500
2022-03-30,1573.709961,1584.689941,1554,1574.089966,1574.089966,202600
2022-03-31,1591.540039,1613.400024,1574.099976,1582.030029,1582.030029,209900
2022-04-01,1586,1594.469971,1570.01001,1594.040039,1594.040039,149300
2022-04-04,1585.709961,1611.890015,1582.189941,1610.75,1610.75,146200
2022-04-05,1608.079956,1627.459961,1582.209961,1604.689941,1604.689941,201400
2022-04-06,1580.900024,1583,1526.550049,1550.849976,1550.849976,202600
2022-04-07,1541.27002,1555.319946,1516.329956,1544.189941,1544.189941,215800
2022-04-08,1532.089966,1557.26001,1531.569946,1543.98999,1543.98999,143300
